run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,is_best,timestamp
20260519_184410,1,0.035431,0.031802,0.034707,0.033254,0.529431,0.301144,0.989329,0.183739,0.149240,0.213235,0.082663,0.897960,7.1031,0.829198,0.062375,0.282840,0.228318,0.362500,0.164646,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:47:38
20260519_184410,2,0.030051,0.002339,0.001940,0.002139,0.049191,0.054711,1.000000,0.245722,0.187164,0.327206,0.080569,0.901691,6.5990,0.873191,0.041366,0.368929,0.255473,0.512500,0.321057,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:49:39
20260519_184410,3,0.027906,0.001285,0.001247,0.001266,0.033029,0.044458,1.000000,0.324563,0.235002,0.389706,0.078403,0.905722,6.3425,0.907346,0.031996,0.418367,0.270087,0.606250,0.461717,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:51:39
20260519_184410,4,0.027169,0.000638,0.000765,0.000701,0.024474,0.039428,1.000000,0.370510,0.244778,0.437500,0.079559,0.905463,6.3884,0.914474,0.025072,0.457572,0.278536,0.575000,0.582447,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 18:53:40
20260519_184410,5,0.026264,0.000350,0.000470,0.000410,0.019178,0.035866,1.000000,0.411586,0.265179,0.437500,0.078144,0.907171,6.1448,0.917215,0.071473,0.465775,0.262714,0.575000,0.681990,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:55:41
20260519_184410,6,0.025912,0.000424,0.000396,0.000410,0.015291,0.033570,1.000000,0.450567,0.271989,0.463235,0.078091,0.907555,5.8738,0.923520,0.165273,0.477051,0.246173,0.543750,0.761381,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:57:41
20260519_184410,7,0.025668,0.000283,0.000341,0.000312,0.012138,0.031747,1.000000,0.529466,0.284581,0.562500,0.077681,0.908302,5.7795,0.928289,0.258126,0.496365,0.237113,0.625000,0.823037,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:59:42
20260519_184410,8,0.025286,0.000206,0.000297,0.000252,0.010079,0.030333,1.000000,0.542396,0.284507,0.558824,0.076827,0.909600,5.7554,0.931469,0.367940,0.509294,0.223184,0.625000,0.869938,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 19:01:43
20260519_184410,9,0.025444,0.000159,0.000174,0.000167,0.010427,0.030663,1.000000,0.542241,0.279041,0.595588,0.077222,0.908992,5.7505,0.927357,0.403684,0.500401,0.240393,0.687500,0.905056,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 19:03:42
20260519_184410,10,0.024881,0.000134,0.000143,0.000139,0.008362,0.029066,1.000000,0.568713,0.299225,0.602941,0.075894,0.910448,5.5826,0.952303,0.232686,0.490158,0.266734,0.656250,0.931042,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 19:05:40
20260519_184410,11,0.024741,0.000136,0.000127,0.000132,0.008887,0.029189,1.000000,0.528305,0.303794,0.569853,0.073943,0.912087,5.8679,0.912829,0.286038,0.486824,0.274909,0.575000,0.950102,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 19:07:44
20260519_184410,12,0.024937,0.000070,0.000089,0.000080,0.008317,0.029097,1.000000,0.566154,0.290585,0.562500,0.076044,0.909637,5.9798,0.938322,0.592944,0.533598,0.239298,0.656250,0.963992,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 19:09:45
20260519_184410,13,0.024408,0.000060,0.000081,0.000070,0.005699,0.027260,1.000000,0.618246,0.314010,0.639706,0.077192,0.908389,5.7004,0.943695,0.682351,0.556831,0.219105,0.718750,0.974067,1.000000,0.500000,0.030000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 19:11:47
