run_id,epoch,seg_loss,domain_loss_mri,domain_loss_us,domain_loss,total_loss,domain_acc,val_loss,val_dice,val_hd95,val_obj_precision,alpha,lambda_domain,lr_encoder,lr_decoder,lr_discriminator,is_best,timestamp
20260519_093055,1,0.024352,0.827676,1.102333,0.965004,0.120852,0.511433,0.095260,0.882439,8.0462,0.946272,0.164646,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 09:33:20
20260519_093055,2,0.023658,0.909064,0.898493,0.903778,0.114035,0.503811,0.091853,0.887279,8.0673,0.939967,0.321057,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 09:35:39
20260519_093055,3,0.023387,0.862700,0.877149,0.869924,0.110380,0.499047,0.090641,0.889371,7.0848,0.941064,0.461717,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 09:37:57
20260519_093055,4,0.023084,0.839449,0.838625,0.839037,0.106988,0.505526,0.091102,0.888527,8.8170,0.924616,0.582447,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 09:40:12
20260519_093055,5,0.022726,0.823699,0.839408,0.831554,0.105882,0.485328,0.094700,0.885016,8.4601,0.941338,0.681990,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 09:42:31
20260519_093055,6,0.022610,0.817033,0.806974,0.812003,0.103810,0.489901,0.100356,0.878691,8.1115,0.942379,0.761381,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 09:44:51
20260519_093055,7,0.022336,0.787618,0.784048,0.785833,0.100919,0.502287,0.094940,0.884555,8.7915,0.930373,0.823037,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 09:47:11
20260519_093055,8,0.022215,0.774896,0.776530,0.775713,0.099786,0.502287,0.095496,0.885315,8.6995,0.932237,0.869938,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 09:49:30
20260519_093055,9,0.021756,0.761673,0.756736,0.759205,0.097677,0.497142,0.097939,0.883066,8.1374,0.941338,0.905056,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 09:51:49
20260519_093055,10,0.021384,0.756382,0.761364,0.758873,0.097271,0.497332,0.098620,0.881301,8.1113,0.940515,0.931042,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 09:54:07
20260519_093055,11,0.021221,0.747651,0.729410,0.738530,0.095074,0.517912,0.100259,0.881426,7.8480,0.943531,0.950102,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 09:56:25
20260519_093055,12,0.021190,0.736133,0.747570,0.741852,0.095376,0.502668,0.104268,0.876367,8.6273,0.941338,0.963992,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 09:58:43
20260519_093055,13,0.021055,0.736490,0.734704,0.735597,0.094614,0.512005,0.105869,0.875228,8.7609,0.937500,0.974067,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 10:01:00
20260519_104022,1,0.024284,0.898127,1.074047,0.986087,0.122893,0.499047,0.098571,0.879831,8.6953,0.929276,0.164646,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 10:42:45
20260519_104022,2,0.023820,0.918201,0.922739,0.920470,0.115867,0.496761,0.102401,0.875145,9.0763,0.918037,0.321057,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 10:45:10
20260519_104022,3,0.023253,0.864562,0.887508,0.876035,0.110856,0.517721,0.101049,0.877396,8.3592,0.945175,0.461717,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 10:47:40
20260519_104022,4,0.023032,0.864979,0.850559,0.857769,0.108809,0.508194,0.108105,0.869955,8.8093,0.937500,0.582447,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 10:50:05
20260519_104022,5,0.022564,0.809245,0.826814,0.818029,0.104367,0.508384,0.109183,0.869353,9.2122,0.923520,0.681990,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 10:52:33
20260519_104022,6,0.022639,0.818725,0.819579,0.819152,0.104555,0.502096,0.109508,0.871076,8.8560,0.932675,0.761381,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 10:55:00
20260519_104022,7,0.022245,0.802159,0.802887,0.802523,0.102498,0.508384,0.105183,0.876038,10.0953,0.909375,0.823037,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 10:57:27
