run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_202854,1,0.032964,0.000000,0.000000,0.000000,3.401175,0.061723,0.038330,66.405750,1.733551,0.500000,0.031250,0.000030,0.031250,1.416623,0.090025,0.891218,6.9897,0.953125,0.100413,0.041478,0.039772,0.780968,0.000000,0.000000,0.000000,0.502010,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.055852,28,1,2026-05-26 20:30:56
20260526_202854,2,0.035624,0.000000,0.000000,0.000000,0.060598,0.007398,0.038909,0.674916,0.065923,0.500000,0.000000,0.000000,0.000000,0.109152,0.095183,0.885907,7.5799,0.953399,0.033047,0.013131,0.039832,0.000000,0.000000,0.000000,0.000000,0.083972,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.011248,28,1,2026-05-26 20:31:17
20260526_202854,3,0.033528,0.000000,0.000000,0.000000,0.077847,0.004407,0.038928,1.079510,0.072452,0.500000,0.031250,0.006568,0.031250,0.048246,0.093360,0.887805,7.4161,0.953893,0.031684,0.011766,0.039836,0.000000,0.000000,0.000000,0.000000,0.070702,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.012706,28,1,2026-05-26 20:31:38
20260526_202854,4,0.034134,0.000000,0.000000,0.000000,0.031226,0.003727,0.038933,0.160664,0.049747,0.500000,0.000000,0.000000,0.000000,0.037702,0.092797,0.888355,7.3405,0.955866,0.028214,0.008297,0.039834,0.000000,0.000000,0.000000,0.000000,0.041783,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.016204,28,1,2026-05-26 20:31:57
20260526_202854,5,0.032076,0.000000,0.000000,0.000000,0.024265,0.003242,0.039113,0.029317,0.044208,0.500000,0.000000,0.000000,0.000000,0.036853,0.089894,0.892297,7.1439,0.953893,0.028744,0.008833,0.039821,0.000000,0.000000,0.000000,0.000000,0.050979,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.015871,28,0,2026-05-26 20:32:18
20260526_202854,6,0.030717,0.000000,0.000000,0.000000,0.023350,0.003758,0.038916,0.002670,0.042392,0.500000,0.000000,0.000000,0.000000,0.076305,0.089971,0.891871,7.1032,0.952522,0.028410,0.008500,0.039820,0.000000,0.000000,0.000000,0.000000,0.048628,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.016183,28,0,2026-05-26 20:32:38
20260526_202854,7,0.030574,0.000000,0.000000,0.000000,0.069398,0.003109,0.039063,0.935162,0.065274,0.500000,0.031250,0.007818,0.031250,0.045111,0.089499,0.892570,7.2665,0.953399,0.022692,0.002785,0.039814,0.000000,0.000000,0.000000,0.000000,0.017490,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.021937,28,1,2026-05-26 20:32:59
20260526_202854,8,0.030804,0.000000,0.000000,0.000000,0.022034,0.002346,0.039376,0.000000,0.041821,0.500000,0.000000,0.000000,0.000000,0.002774,0.087489,0.894679,6.9283,0.963268,0.021266,0.001363,0.039806,0.000000,0.000000,0.000000,0.000000,0.009137,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023468,28,1,2026-05-26 20:33:20
20260526_202854,9,0.029728,0.000000,0.000000,0.000000,0.021313,0.001704,0.039219,0.000000,0.040385,0.500000,0.000000,0.000000,0.000000,0.001385,0.086535,0.895670,7.2092,0.957785,0.021130,0.001232,0.039797,0.000000,0.000000,0.000000,0.000000,0.006918,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023653,28,1,2026-05-26 20:33:40
20260526_202854,10,0.028182,0.000000,0.000000,0.000000,0.021510,0.001925,0.039170,0.000000,0.038937,0.500000,0.031250,0.001675,0.031250,0.004442,0.087654,0.894667,6.9732,0.957237,0.020667,0.000770,0.039793,0.000000,0.000000,0.000000,0.000000,0.003428,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.024067,28,1,2026-05-26 20:34:01
20260526_202854,11,0.029173,0.161960,0.264840,0.213400,0.020861,0.001367,0.038989,0.000000,0.039617,0.897321,0.000000,0.000000,0.000000,0.000192,0.086404,0.895618,6.7930,0.959704,0.020850,0.000954,0.039792,0.000000,0.000000,0.000000,0.000000,0.004974,0.236508,1.000000,0.500000,0.000237,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023931,28,0,2026-05-26 20:34:20
20260526_202854,12,0.028127,0.023199,0.011511,0.017355,0.020963,0.001433,0.039061,0.000000,0.038615,0.995536,0.000000,0.000000,0.000000,0.001522,0.083639,0.899074,7.0915,0.948739,0.021635,0.001746,0.039777,0.000000,0.000000,0.000000,0.000000,0.009923,0.455066,1.000000,0.500000,0.000455,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023319,28,0,2026-05-26 20:34:37
20260526_202854,13,0.029626,0.005209,0.005752,0.005481,0.020810,0.001387,0.038841,0.000041,0.040034,1.000000,0.000000,0.000000,0.000000,0.023572,0.084961,0.897470,7.0576,0.949836,0.020942,0.001058,0.039767,0.000000,0.000000,0.000000,0.000000,0.005501,0.629792,1.000000,0.500000,0.000630,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023932,28,0,2026-05-26 20:34:56
