run_id,epoch,seg_loss_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_loss_us,total_loss,domain_acc,bbox_inside_ratio,bbox_iou,bbox_centroid_inside,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_loss_us,val_bbox_inside_ratio,val_bbox_iou,val_bbox_centroid_inside,alpha,lambda_domain,lambda_weak,lr_encoder,lr_decoder,lr_discriminator,is_best,timestamp
20260519_174641,1,0.030816,0.044737,0.021006,0.032872,0.559712,0.090074,0.988567,0.196292,0.155766,0.235294,0.080779,0.900745,6.5785,0.895833,0.088105,0.277817,0.222166,0.350000,0.164646,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 17:50:11
20260519_174641,2,0.026148,0.003132,0.002322,0.002727,0.054539,0.031875,1.000000,0.262706,0.198004,0.330882,0.076586,0.907988,5.7017,0.925987,0.077010,0.351260,0.259789,0.431250,0.321057,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 17:52:12
20260519_174641,3,0.025191,0.001921,0.001263,0.001592,0.037090,0.029060,0.999809,0.304674,0.213421,0.393382,0.076182,0.909024,5.5895,0.932566,0.086945,0.408783,0.266000,0.512500,0.461717,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 17:54:13
20260519_174641,4,0.024582,0.001067,0.000955,0.001011,0.027686,0.027452,1.000000,0.342985,0.227871,0.411765,0.074478,0.910942,5.3533,0.929825,0.118743,0.430091,0.276835,0.575000,0.582447,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 17:56:12
20260519_174641,5,0.024354,0.000655,0.000544,0.000599,0.023492,0.026763,1.000000,0.401106,0.269437,0.448529,0.074930,0.910443,5.3582,0.929550,0.123381,0.463943,0.280657,0.543750,0.681990,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 17:58:11
20260519_174641,6,0.023840,0.000626,0.000412,0.000519,0.018264,0.025718,1.000000,0.418111,0.254729,0.426471,0.073850,0.911844,5.6296,0.933388,0.174611,0.477423,0.274733,0.543750,0.761381,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 18:00:10
20260519_174641,7,0.023627,0.000405,0.000383,0.000394,0.015215,0.025188,1.000000,0.450131,0.264904,0.463235,0.074574,0.910967,5.4334,0.935855,0.253265,0.498739,0.262459,0.593750,0.823037,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 18:02:08
20260519_174641,8,0.023290,0.000428,0.000520,0.000474,0.014292,0.024766,1.000000,0.488219,0.294502,0.518382,0.075438,0.910610,5.2623,0.943257,0.440844,0.494729,0.257574,0.593750,0.869938,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 18:04:07
20260519_174641,9,0.023168,0.000360,0.000332,0.000346,0.012969,0.024500,1.000000,0.534350,0.308409,0.569853,0.074124,0.911638,5.0368,0.940515,0.251225,0.485826,0.265593,0.687500,0.905056,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 18:06:07
20260519_174641,10,0.022810,0.017701,0.008693,0.013197,0.010243,0.025154,0.997332,0.550353,0.308534,0.577206,0.075360,0.910142,5.4808,0.944079,0.578544,0.476379,0.216085,0.637500,0.931042,0.100000,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 18:08:08
