run_id,epoch,seg_loss,domain_loss_mri,domain_loss_us,domain_loss,total_loss,domain_acc,val_loss,val_dice,val_hd95,val_obj_precision,alpha,lambda_domain,lr_encoder,lr_decoder,lr_discriminator,is_best,timestamp
20260519_120213,1,0.024383,0.994055,0.934749,0.964402,0.120824,0.495617,0.096959,0.880759,8.3013,0.927029,0.164646,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 12:04:31
20260519_120213,2,0.023534,0.933341,0.922130,0.927735,0.116307,0.494093,0.098748,0.877926,7.9339,0.932072,0.321057,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:06:47
20260519_120213,3,0.023066,0.890423,0.877971,0.884197,0.111485,0.500000,0.095092,0.882646,8.4397,0.929276,0.461717,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 12:09:03
20260519_120213,4,0.023160,0.855283,0.841794,0.848538,0.108014,0.507622,0.095970,0.882071,8.1354,0.907895,0.582447,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:11:18
20260519_120213,5,0.022928,0.828335,0.828961,0.828648,0.105793,0.504002,0.097460,0.881143,7.8468,0.929221,0.681990,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:13:34
20260519_120213,6,0.022516,0.801215,0.813522,0.807368,0.103253,0.509909,0.098157,0.878765,8.3492,0.929002,0.761381,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:15:50
20260519_120213,7,0.022357,0.800353,0.797038,0.798696,0.102227,0.502096,0.098930,0.880901,8.4130,0.924232,0.823037,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:18:05
20260519_120213,8,0.021931,0.773762,0.780743,0.777253,0.099656,0.504002,0.096595,0.883266,7.6688,0.936952,0.869938,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 12:20:21
20260519_120213,9,0.021760,0.767469,0.766621,0.767045,0.098465,0.504383,0.101766,0.878107,8.7183,0.918914,0.905056,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:22:37
20260519_120213,10,0.021488,0.748407,0.755569,0.751988,0.096687,0.512386,0.100814,0.878153,8.6262,0.933717,0.931042,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:24:52
20260519_120213,11,0.021325,0.743876,0.755435,0.749656,0.096291,0.508575,0.105266,0.875777,9.2705,0.925713,0.950102,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:27:07
20260519_120213,12,0.021030,0.739955,0.741005,0.740480,0.095078,0.503049,0.111860,0.867271,9.2523,0.915570,0.963992,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:29:22
20260519_120213,13,0.020933,0.738254,0.728437,0.733346,0.094267,0.507622,0.104635,0.875013,8.8148,0.916941,0.974067,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:31:40
20260519_120213,14,0.020720,0.721339,0.730790,0.726064,0.093326,0.513338,0.096191,0.887446,7.3326,0.939145,0.981349,0.100000,1.00e-05,5.00e-06,1.00e-04,1,2026-05-19 12:33:58
20260519_120213,15,0.020436,0.715955,0.723661,0.719808,0.092416,0.512005,0.098359,0.885153,7.9698,0.926096,0.986601,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:36:16
20260519_120213,16,0.020454,0.718819,0.719227,0.719023,0.092357,0.500572,0.102323,0.880479,8.5236,0.923794,0.990381,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:38:34
20260519_120213,17,0.020106,0.717351,0.718752,0.718051,0.091911,0.502287,0.099088,0.883276,7.9210,0.917215,0.993098,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:40:52
20260519_120213,18,0.019873,0.711437,0.707652,0.709544,0.090827,0.509909,0.098349,0.885183,7.6686,0.934485,0.995050,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:43:09
20260519_120213,19,0.019628,0.708181,0.709825,0.709003,0.090528,0.504764,0.099761,0.883859,7.6115,0.929276,0.996450,0.100000,1.00e-05,5.00e-06,1.00e-04,0,2026-05-19 12:45:24
20260519_120213,20,0.019406,0.704279,0.710999,0.707639,0.090170,0.507431,0.098629,0.885961,7.8484,0.936404,0.997455,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 12:47:40
20260519_120213,21,0.019231,0.704581,0.708156,0.706368,0.089868,0.510861,0.091408,0.894286,7.3753,0.942982,0.998176,0.100000,5.00e-06,2.50e-06,5.00e-05,1,2026-05-19 12:49:57
20260519_120213,22,0.019035,0.699993,0.709448,0.704720,0.089507,0.509909,0.093962,0.891967,7.2213,0.943092,0.998693,0.100000,5.00e-06,2.50e-06,5.00e-05,0,2026-05-19 12:52:13
