run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_203945,1,0.034223,0.000000,0.000000,0.000000,0.078948,0.024567,0.038162,0.706005,0.073697,0.500000,0.000000,0.000000,0.000000,0.751332,0.091958,0.888926,7.2696,0.952851,0.027724,0.001798,0.039806,0.120469,0.000000,0.000000,0.000000,0.093650,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.016722,28,1,2026-05-26 20:41:46
20260526_203945,2,0.031045,0.000000,0.000000,0.000000,0.024367,0.001113,0.038897,0.076124,0.043229,0.500000,0.082420,0.005598,0.093750,0.006731,0.087333,0.895210,6.9662,0.955044,0.024115,0.000230,0.039760,0.080106,0.000000,0.000000,0.000000,0.000080,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.020645,28,1,2026-05-26 20:42:06
20260526_203945,3,0.028880,0.000000,0.000000,0.000000,0.023943,0.001204,0.038843,0.066341,0.040851,0.500000,0.000000,0.000000,0.000000,0.000299,0.084844,0.897403,6.4734,0.954496,0.024130,0.000218,0.039735,0.080909,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.020740,28,0,2026-05-26 20:42:26
20260526_203945,4,0.028314,0.000000,0.000000,0.000000,0.023640,0.000566,0.038836,0.073114,0.040134,0.500000,0.062500,0.009539,0.062500,0.009539,0.084007,0.898674,6.5063,0.950110,0.024096,0.000221,0.039716,0.080342,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.020838,28,1,2026-05-26 20:42:47
20260526_203945,5,0.027670,0.000000,0.000000,0.000000,0.023461,0.000747,0.038877,0.065524,0.039400,0.500000,0.024428,0.001005,0.031250,0.019905,0.082771,0.899817,6.4941,0.945450,0.023983,0.000251,0.039674,0.077911,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.021008,28,1,2026-05-26 20:43:08
20260526_203945,6,0.026040,0.000000,0.000000,0.000000,0.023263,0.000709,0.038918,0.061894,0.037672,0.500000,0.000000,0.000000,0.000000,0.000057,0.080644,0.902632,6.1761,0.947643,0.023877,0.000281,0.039647,0.075463,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.021254,28,1,2026-05-26 20:43:29
20260526_203945,7,0.025766,0.000000,0.000000,0.000000,0.022663,0.000340,0.038676,0.059707,0.037098,0.500000,0.000000,0.000000,0.000000,0.000252,0.079962,0.903550,6.1120,0.946546,0.023689,0.000329,0.039580,0.071389,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.021489,28,1,2026-05-26 20:43:49
20260526_203945,8,0.027029,0.000000,0.000000,0.000000,0.022548,0.000449,0.038595,0.056040,0.038303,0.500000,0.016538,0.000786,0.031250,0.001808,0.076636,0.907863,5.7541,0.945175,0.023491,0.000385,0.039441,0.067722,0.000000,0.000000,0.000000,0.000016,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.021902,28,1,2026-05-26 20:44:07
20260526_203945,9,0.026825,0.000000,0.000000,0.000000,0.022262,0.000456,0.038397,0.052166,0.037956,0.500000,0.026306,0.001350,0.031250,0.004329,0.077128,0.907088,5.8134,0.941886,0.023120,0.000463,0.039144,0.061692,0.000000,0.000000,0.000000,0.000304,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.022234,28,1,2026-05-26 20:44:28
20260526_203945,10,0.028091,0.000000,0.000000,0.000000,0.022034,0.000761,0.037777,0.047687,0.039108,0.500000,0.000000,0.000000,0.000000,0.000104,0.078015,0.905922,5.8885,0.941338,0.022591,0.000589,0.038445,0.055592,0.001875,0.000097,0.000000,0.002268,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,0.023362,28,1,2026-05-26 20:44:49
