run_id,epoch,seg_mri,domain_loss_mri,domain_loss_us,domain_loss,weak_us,outside_loss,inside_presence_loss,area_loss,total_loss,dom_acc,bbox_in,bbox_iou,bbox_centroid_inside,predicted_area_ratio,mean_inside_prob,max_inside_prob,topk_inside_prob,val_loss,val_dice,val_hd95,val_obj_precision,val_weak_us,val_outside_loss,val_inside_presence_loss,val_area_loss,val_bbox_in,val_bbox_iou,val_bbox_centroid_inside,val_predicted_area_ratio,val_mean_inside_prob,val_max_inside_prob,val_topk_inside_prob,alpha,lambda_mri,lambda_us,lambda_domain,use_dann,weak_mode,lr_encoder,lr_decoder,lr_discriminator,target_score,steps_per_epoch,is_best,timestamp
20260526_213306,1,0.036256,0.000000,0.000000,0.000000,2.086720,0.041183,0.424643,1.196251,1.079616,0.500000,0.031250,0.002547,0.031250,2.345778,0.007659,0.033905,0.020666,0.092725,0.887859,7.5710,0.948465,1.252138,0.011297,0.437087,0.366668,0.000000,0.000000,0.000000,0.323547,0.000160,0.001520,0.000333,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.207745,28,1,2026-05-26 21:35:27
20260526_213306,2,0.035794,0.000000,0.000000,0.000000,1.021649,0.003319,0.432125,0.154079,0.546619,0.500000,0.000000,0.000000,0.000000,0.016918,0.002848,0.016519,0.008832,0.098325,0.881831,8.0393,0.946820,1.059918,0.000724,0.437177,0.184840,0.000000,0.000000,0.000000,0.047917,0.000125,0.000938,0.000260,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-1.015827,28,1,2026-05-26 21:35:57
20260526_213306,3,0.037537,0.000000,0.000000,0.000000,1.010518,0.001516,0.431564,0.145875,0.542796,0.500000,0.000000,0.000000,0.000000,0.026811,0.001910,0.022188,0.006505,0.095731,0.886150,7.7842,0.950219,1.012738,0.000406,0.437182,0.137968,0.000000,0.000000,0.000000,0.005521,0.000121,0.001002,0.000258,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.968431,28,1,2026-05-26 21:36:28
20260526_213306,4,0.031649,0.000000,0.000000,0.000000,0.950221,0.000857,0.425825,0.097714,0.506760,0.500000,0.026582,0.004810,0.031250,0.005811,0.004708,0.029637,0.016208,0.093286,0.889499,7.8574,0.945230,0.979190,0.000625,0.437224,0.104116,0.000000,0.000000,0.000000,0.000000,0.000102,0.001058,0.000225,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.934715,28,1,2026-05-26 21:36:58
20260526_213306,5,0.030130,0.000000,0.000000,0.000000,0.934127,0.002001,0.428024,0.076078,0.497194,0.500000,0.025605,0.003525,0.031250,0.019869,0.003217,0.023641,0.012127,0.091749,0.891896,7.3938,0.936075,0.950779,0.001087,0.437177,0.075338,0.000000,0.000000,0.000000,0.000000,0.000114,0.002975,0.000266,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.906184,28,1,2026-05-26 21:37:28
20260526_213306,6,0.032494,0.000000,0.000000,0.000000,0.946604,0.002802,0.426122,0.091557,0.505796,0.500000,0.058043,0.022659,0.062500,0.024721,0.008905,0.034873,0.020370,0.088880,0.894778,7.3963,0.946546,0.952115,0.001049,0.437106,0.076855,0.000000,0.000000,0.000000,0.000000,0.000136,0.005146,0.000326,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.907377,28,0,2026-05-26 21:37:56
20260526_213306,7,0.029949,0.000000,0.000000,0.000000,1.037442,0.003873,0.424066,0.185437,0.548670,0.500000,0.000737,0.000720,0.000000,0.704960,0.009491,0.040561,0.022507,0.087211,0.896410,7.2256,0.938322,0.952366,0.001055,0.437082,0.077146,0.000000,0.000000,0.000000,0.000000,0.000142,0.005013,0.000347,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.907546,28,0,2026-05-26 21:38:26
20260526_213306,8,0.029091,0.000000,0.000000,0.000000,0.923205,0.002200,0.424070,0.072865,0.490693,0.500000,0.000000,0.000000,0.000000,0.012720,0.009259,0.038232,0.023522,0.085562,0.898104,7.0821,0.936404,0.949474,0.001122,0.436956,0.074441,0.000000,0.000000,0.000000,0.000000,0.000178,0.012495,0.000455,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.904569,28,1,2026-05-26 21:38:55
20260526_213306,9,0.028273,0.000000,0.000000,0.000000,0.920487,0.002154,0.423781,0.070771,0.488517,0.500000,0.000000,0.000000,0.000000,0.000041,0.010211,0.039258,0.025732,0.084694,0.898822,7.0714,0.946272,0.949799,0.001132,0.436811,0.075045,0.000000,0.000000,0.000000,0.000574,0.000216,0.015864,0.000581,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.904858,28,0,2026-05-26 21:39:26
20260526_213306,10,0.031115,0.000000,0.000000,0.000000,0.915684,0.002135,0.423886,0.065777,0.488957,0.500000,0.000000,0.000000,0.000000,0.004811,0.008177,0.041904,0.023582,0.083382,0.900447,6.7810,0.935033,0.947254,0.001196,0.436601,0.072857,0.031250,0.000018,0.031250,0.001421,0.000276,0.021298,0.000762,0.000000,1.000000,0.500000,0.000000,1,bbox,1.00e-05,5.00e-06,1.00e-04,-0.881393,28,1,2026-05-26 21:39:57
